(1,750,1200)
(2,450,600)
(3,550,750)
(4,450,600)
(5,450,600)
(6,450,600)
(7,550,750)
(8,550,750)
(9,450,600)
(10,450,600)
(11,1150,1400)
(12,550,750)
(13,450,600)
(14,450,600)
(15,450,600)
(16,450,600)
(17,550,750)
(18,450,600)
(19,450,600)
(20,450,600)
(21,450,600)
(22,400,500)
(23,450,600)
(24,450,600)
(25,450,600)
(26,450,600)
(27,400,500)
(28,450,600)
(29,400,500)
(30,550,750)
(31,300,400)
(32,450,600)
(33,1150,1400)
(34,450,600)
(35,450,600)
(36,450,600)
(37,1150,1400)
(38,450,600)
(39,550,750)
(40,450,600)
(41,450,600)
(42,450,600)
(43,450,600)
(44,450,600)
(45,750,1200)
(46,400,500)
(47,550,750)
(48,450,600)
(49,550,750)
(50,1150,1400)
(51,550,750)
(52,1150,1400)
(53,1150,1400)
(54,1150,1400)
(55,550,750)
(56,1150,1400)
(57,550,750)
(58,550,750)
